,chordmer,kappa_le,kappa_te,stagger
-0.05,0.02782318036521498,0.0,-0.663377752210338,-0.331688876105169
0.0,0.027713715016215345,0.0,-0.9357627565524608,-0.4678813782762304
0.05,0.027617307179891623,0.0,-1.2157669815176213,-0.6078834907588107
0.1,0.027532766100126678,0.0,-2.4370901999787016,-1.2185450999893508
0.2,0.027394521185804613,0.0,-4.92837437454281,-2.464187187271405
0.3,0.027290444983966298,0.0,-7.52001369476192,-3.76000684738096
0.4,0.027216728579878963,0.0,-10.167066417938377,-5.083533208969189
0.5,0.027166404993455538,0.0,-12.876059064703716,-6.438029532351858
0.6,0.02713995497153998,0.0,-15.668530805847519,-7.8342654029237595
0.7,0.027117744612076354,0.0,-18.544226664141902,-9.272113332070951
0.8,0.02710532976100648,0.0,-21.4745838439177,-10.73729192195885
0.9,0.02710087518010932,0.0,-24.47713384214747,-12.238566921073735
0.95,0.027100092061076456,0.0,-26.00619146313037,-13.003095731565185
1.0,0.0271,0.0,-26.48333103060917,-13.241665515304584
1.05,0.02710039588294404,0.0,-26.966368474072155,-13.483184237036077
