,chordmer,kappa_le,kappa_te,stagger
-0.05,0.03565592207211375,60.59100151136704,36.496725326694964,45.65255027687036
0.0,0.03539336095936639,59.6679163959489,36.69268346462799,45.882776637156354
0.05,0.03516397479520658,58.73001969525496,36.94889682865097,46.09696843262465
0.1,0.034962491127860144,57.43567391244498,37.710441057520015,46.389543513687
0.2,0.034622145445241385,55.20728383770803,39.16555207270843,46.86558331990824
0.3,0.03434430305145792,53.593434550160765,40.34676456228961,47.235032955982604
0.4,0.03413738053359507,52.42457527686462,41.440280212464565,47.591485448528594
0.5,0.03399090508087377,51.72439089749245,42.48237253471338,48.02758355238082
0.6,0.03389361339979637,51.46734670017218,43.515911955782784,48.604830192192
0.7,0.03383479695969039,51.625191761025754,44.64184467155561,49.39052069239531
0.8,0.033806470173758166,52.14282696400452,46.00731507058317,50.424883633846534
0.9,0.03380058997966677,52.61703488312183,48.04075050480496,51.51872663232579
0.95,0.03380083473062893,52.77442280191905,49.489645549238006,52.05177180632923
1.0,0.033800000000000004,52.75974175606806,49.59033871222371,52.12586114729919
1.05,0.03379568375258275,52.68182478140876,49.73134037949974,52.15073758906513
